Closing Date,City,SP,SqFt,Sale $/SqFt,Age
6/15/2016,DANVILLE,"$1,070,000 ",1934,$553 ,48
6/27/2016,DANVILLE,"$1,060,000 ",2177,$487 ,27
7/29/2016,DANVILLE,"$1,060,000 ",2304,$460 ,23
12/13/2016,DANVILLE,"$1,000,000 ",2336,$428 ,27
2/5/2016,DANVILLE,"$1,100,000 ",1979,$556 ,40
2/23/2016,DANVILLE,"$1,100,000 ",2002,$549 ,46
9/22/2016,DANVILLE,"$1,035,000 ",2131,$486 ,36
11/30/2016,DANVILLE,"$1,030,000 ",2893,$356 ,16
4/22/2016,DANVILLE,"$1,100,000 ",1955,$563 ,43
2/12/2016,DANVILLE,"$1,050,000 ",2813,$373 ,21
8/5/2016,DANVILLE,"$1,110,000 ",2325,$477 ,22
11/30/2016,DANVILLE,"$1,040,000 ",1943,$535 ,44
7/15/2016,DANVILLE,"$1,060,000 ",2463,$430 ,18
9/20/2016,DANVILLE,"$1,065,000 ",2693,$395 ,21
1/19/2016,DANVILLE,"$1,075,000 ",3281,$328 ,25
8/16/2016,DANVILLE,"$1,090,000 ",2344,$465 ,37
9/29/2016,DANVILLE,"$1,095,000 ",2113,$518 ,45
4/5/2016,DANVILLE,"$1,102,000 ",2293,$481 ,46
7/15/2016,DANVILLE,"$1,125,000 ",1818,$619 ,57
11/3/2016,DANVILLE,"$1,060,000 ",2263,$468 ,37
4/26/2016,DANVILLE,"$1,020,000 ",2052,$497 ,22
4/19/2016,DANVILLE,"$1,100,000 ",1865,$590 ,39
8/30/2016,DANVILLE,"$1,090,000 ",2304,$473 ,23
3/18/2016,DANVILLE,"$1,200,000 ",2278,$527 ,50
12/6/2016,DANVILLE,"$1,005,000 ",2342,$429 ,44
1/29/2016,DANVILLE,"$1,025,000 ",3237,$317 ,27
11/2/2016,DANVILLE,"$1,062,135 ",2609,$407 ,21
7/29/2016,DANVILLE,"$1,150,000 ",1975,$582 ,52
6/21/2016,DANVILLE,"$1,080,000 ",2255,$479 ,22
9/9/2016,DANVILLE,"$1,037,500 ",2052,$506 ,20
6/1/2016,DANVILLE,"$1,125,000 ",1953,$576 ,41
3/22/2016,DANVILLE,"$1,125,000 ",2574,$437 ,10
6/16/2016,DANVILLE,"$1,125,000 ",2565,$439 ,21
6/30/2016,DANVILLE,"$1,095,000 ",2402,$456 ,20
12/16/2016,DANVILLE,"$1,080,000 ",2240,$482 ,41
